id;off_name;off_address;off_postcode;off_city;off_state;off_offphone;off_offfax;entered_by;entered_date;modified_by;modified_date
1;Bedfordshire;black Human Cheese;back deposit SMTP;PCI open-source;Norway International feed;hub;port;96259;2024-01-21T19:04:05;46530;2024-01-21T20:52:34
2;blue;Investor Hat Group;District;application;transmitting online;Research Nauru Functionality;copying connecting;10883;2024-01-21T13:16:55;73499;2024-01-21T13:21:16
3;Developer South;Toys;Awesome payment;Manager encompassing;programming;Fresh;Michigan;395;2024-01-21T20:11:13;83970;2024-01-21T12:16:51
4;Analyst Technician protocol;Human calculating;Wooden Gorgeous;Delaware;Practical;invoice;Ouguiya Licensed;88047;2024-01-21T17:43:46;56284;2024-01-21T21:55:45
5;Guernsey;redundant Verde;Automotive deposit;application Direct;Trafficway whiteboard;Officer;Developer Synergized;51264;2024-01-21T18:18:30;9599;2024-01-21T21:24:45
6;Concrete algorithm Investment;Advanced matrix;Account;Salad Soap;maximize;technologies Gorgeous;interface Field Lake;70245;2024-01-22T00:35:15;2859;2024-01-21T20:25:49
7;e-business primary;turquoise Georgia;Computer Metical;black;Key programming;transmitter;infrastructures;61075;2024-01-21T10:05:11;46462;2024-01-21T14:44:33
8;Connecticut groupware;Agent Soap;index Home navigating;Bedfordshire Ergonomic;drive;Mouse Account Keyboard;deliver seize Progressive;84565;2024-01-21T20:59:09;9691;2024-01-21T16:22:24
9;impactful HTTP Dollar;calculate Web Frozen;hard;Fresh Madagascar heuristic;navigate COM Fresh;ADP;violet;99885;2024-01-21T16:11:35;85260;2024-01-21T12:48:24
10;Borders grow Loan;Generic throughput;dynamic;disintermediate expedite;Fresh;niches up Salad;tan Integration;43904;2024-01-21T17:12:16;8432;2024-01-21T15:31:00
