id;ocp_orgcodeid;ocp_title;ocp_name;ocp_designation;ocp_telephone_1;ocp_handphone;ocp_mail;ocp_sector;ocp_status;entered_by;entered_date;modified_by;modified_date
1;45637;Steel;Berkshire embrace JSON;Refined;distributed reboot Frozen;User-friendly;Avon Dalasi;SSL mission-critical;drive Product;75394;2024-01-09T03:33:55;40773;2024-01-08T19:49:37
2;45211;Small;Spur Soft;Metal Sleek Loan;primary morph;Optimization;grow;Accounts;mission-critical;3403;2024-01-09T02:42:37;97051;2024-01-08T08:33:44
3;46209;Rustic Personal;reboot Saint Up-sized;infrastructures CSS;sky;Re-engineered Practical Internal;solutions iterate;Orchestrator circuit;grey AI;72918;2024-01-08T13:08:14;77747;2024-01-08T04:56:20
4;14104;Lead Quality-focused ivory;Fresh De-engineered;engine;Dominican;Thailand Metal disintermediate;Circle Decentralized;Cambridgeshire action-items Dynamic;Rustic mobile ivory;56033;2024-01-08T21:16:50;83257;2024-01-08T10:10:53
5;72601;Pizza optical;withdrawal;parsing;Administrator Designer digital;model;fresh-thinking;Account;mobile 1080p;47755;2024-01-09T03:27:39;68261;2024-01-08T06:32:40
6;52322;Advanced mint e-business;Multi-lateral Frozen deploy;Future SMS;streamline transmit;proactive;bandwidth Fresh Steel;Dinar sensor;encompassing;1765;2024-01-08T14:46:02;53212;2024-01-08T08:08:30
7;29519;hacking tertiary Hawaii;Configurable;Granite service-desk Small;Togo;Prairie Avon middleware;Frozen;Data deposit Bedfordshire;up;56798;2024-01-08T05:34:39;10132;2024-01-08T13:50:37
8;75846;Rubber Shoes Card;cross-platform seize;executive;compress Engineer;Granite Granite;tertiary Afghani Tunnel;Credit Representative Representative;seamless Denmark;808;2024-01-09T01:46:25;1334;2024-01-08T05:44:50
9;82739;Intranet;Developer brand;Forward navigating;connect groupware;Carolina optical Beauty;Officer;New attitude Dynamic;Auto architectures;75112;2024-01-08T05:56:57;86791;2024-01-08T16:57:03
10;36186;Fresh Cheese;Data;proactive Chair;drive Keyboard;bandwidth;optimize;complexity payment;SAS;2584;2024-01-08T23:48:37;50439;2024-01-08T21:22:57
