id;org_hqid;org_hq_br;org_code;org_brn;org_ptaxid;org_default_tax_code;org_company_gst_no;org_company_gst_reg_date;org_company_gst_dereg_date;org_po_tax_inclusive;org_name;org_name_other;org_shortname;org_address;org_shipping_address;org_billing_address;org_postcode;org_city;org_state;org_country;org_off_phone_1;org_off_phone_2;org_off_phone_3;org_off_fax_1;org_off_fax_2;org_credittermid;org_credit_limit;org_agencyid;org_division;org_district;org_website;org_email;org_supplier_category;org_currency_code;org_type;org_sectorid;org_sector;org_industry;org_sains_group;org_bumiputra;org_upk_reg;org_mof_reg;org_designation;org_contperson_title;org_contperson;org_directline;org_contp_email;org_contp_hp;org_remarks;org_active_status;org_cc_gc;org_customer_cate_code;org_vendor_cate_code;org_sales_cate_code;org_outstanding_balance;org_outstanding_balance_ex;org_company_code;org_dcrown_post_status;confirmed_by;confirmed_date;entered_by;entered_date;modified_by;modified_date
1;29975;Ferry;Granite Legacy;mobile Congolese lavender;42755;cyan Chile;Horizontal;2024-01-09;2024-01-08;functionalities Money;Auto Chips National;maximized Engineer;Salad;next-generation utilize;array Plastic metrics;Networked sensor;San;Clothing Virtual;Libyan;SMS;Kingdom hack red;transparent transmitting strategy;Market B2C;Mobility Inlet Loan;Technician hacking copy;44783;89147;11202;HTTP Plastic communities;Steel microchip Alaska;architecture Credit Arkansas;National Berkshire;Awesome;United;matrix plum;46465;Well Corner Pants;Russian;compress;Solutions national program;Corporate;Lithuania;PCI Forward system;Dynamic;incremental;redundant strategic Bedfordshire;Internal;Massachusetts Pennsylvania;Senior;niches;Slovenia Communications;grow Producer;Web Cheese Unbranded;models parse;33593;46864;Union;XML;57343;2024-01-08T09:24:18;35852;2024-01-08T21:38:10;38389;2024-01-08T10:15:06
2;86728;Jewelery Hawaii Lead;relationships card Shirt;e-business e-tailers;27881;Investor;Associate;2024-01-08;2024-01-08;Response;best-of-breed Georgia;solid;port;system Progressive;online;hack;United Granite copying;Loan JBOD Human;Concrete;Mexico Sum;Kwacha Unbranded;Tasty;Turnpike violet;Diverse;invoice Regional array;37235;32394;21393;reboot;Bike;Functionality;SDR seamless Valley;clicks-and-mortar;granular Towels;Views bypassing hard;67077;Islands Licensed implement;feed;Curve;Automotive;Cambridgeshire;Salad Ruble Granite;Tunisia magenta e-enable;York;navigating bricks-and-clicks;Borders Berkshire;payment;virtual Vermont copying;Alabama;Operations;budgetary Automotive Shirt;Cheese Solutions;Re-contextualized SSL;convergence Metal;92418;64693;Borders;Ergonomic;98902;2024-01-09T01:10:51;57594;2024-01-08T08:50:49;41582;2024-01-09T02:39:36
3;64228;seamless Shirt;Industrial;Legacy Grenada hour;24371;blue Soft;Intelligent North Future-proofed;2024-01-08;2024-01-08;Sleek Manager;payment;Mouse enterprise one-to-one;Chicken Metal;Christmas quantifying;seize sexy;JBOD Hawaii;connect monitor dot-com;Tactics Implementation;invoice empower;Awesome cultivate Checking;back-end B2B Chicken;Run;Salad;cultivate Tools;bypassing Designer;74783;19184;96902;Checking Handcrafted;maximize;Planner;Garden;Legacy alarm Customer;calculate Awesome;backing Jordan throughput;42655;neural;Focused Solutions;input solutions;Congo;Strategist well-modulated;Intranet;Customer;Chips implement Views;Mexico Soap;transition asynchronous transform;Soft Bangladesh;infrastructures;Shirt;Mountains deposit Account;Chair grow Bike;Group;Movies Uganda;Metal Shoes mindshare;63993;708;Key Guernsey circuit;Principal Carolina Berkshire;84506;2024-01-08T22:41:09;13304;2024-01-09T01:19:34;19476;2024-01-08T16:58:59
4;43948;Investment;withdrawal turn-key Books;Assistant Rustic;54247;Response Concrete;FTP SQL;2024-01-08;2024-01-08;Avon;Car;input e-services relationships;calculating;Account cross-platform;Quality Gorgeous;Wooden;SCSI Aruba;Peso Bike;Indiana;Future 1080p;indexing;Account Web;Table bricks-and-clicks Lights;Soft tangible;Hollow Cotton Forint;5443;64288;47453;Savings transmitter;initiatives;Concrete Sports Hat;Colorado;Frozen multi-byte integrated;mindshare;Fresh Alabama;83566;compressing optical green;Manat Station;withdrawal Investment;Principal Agent withdrawal;Clothing implementation Street;archive;synthesize Seamless;Frozen Handcrafted;deposit Gourde Cotton;Cotton Washington Shoes;Account;Bike Zloty Account;Function-based methodology Somalia;Jamaican Virginia applications;Savings THX Tuna;Port Soft;Administrator;Loan up;30610;9418;initiatives Bangladesh Metal;Wooden Flats Keyboard;61700;2024-01-09T00:21:23;99941;2024-01-08T06:50:12;32426;2024-01-08T12:27:49
5;40964;service-desk;Practical connect;GB;21807;Gibraltar User-centric;National knowledge;2024-01-08;2024-01-08;initiatives payment Account;Representative;Saudi;standardization Concrete;area quantifying context-sensitive;Sausages Borders Producer;deposit;Account Small;program;Pine Computer;Lithuania Gloves Designer;maximize Concrete cross-platform;Shoes Integration;bypassing;Plastic indexing Wyoming;sensor Account;66832;45544;1511;deposit Hat;Managed Sausages;connecting;parsing open-source Identity;hour;deposit Cape transmitting;input Isle enterprise;70741;Producer Stream web-readiness;Shirt Cambridgeshire Loan;Turnpike Illinois impactful;Ball Designer deposit;Right-sized Mexico Gorgeous;Yuan silver;Loan Fresh Rustic;Soft;Creative bus blue;Computers channels;Points;SMS implement SQL;Frozen;Baby quantifying;virtual action-items hack;deposit;tertiary Unbranded;Motorway;68078;36712;olive Berkshire;Metal Gorgeous Points;30442;2024-01-08T08:05:28;75226;2024-01-09T03:39:45;60554;2024-01-09T02:13:11
6;57206;payment National Buckinghamshire;Card;Nigeria Checking methodical;17569;Antigua;Berkshire infrastructures Frozen;2024-01-08;2024-01-08;Wooden Botswana user-centric;Unit;copying revolutionary;hacking;hard;web-enabled Personal;Car navigating Republic;Internal Utah;Analyst;North;digital Focused Shoes;tan;Group digital;model secondary Mountains;cross-platform;Wooden Rustic Savings;58271;95651;7358;Grass-roots network Operative;up Steel;driver;Rustic;payment Refined;Self-enabling;Forint Locks Chips;89031;Paradigm;Buckinghamshire Belize Developer;Lead Central Wooden;Toys;capacitor multi-byte;compress;copying;relationships;Unit Implementation;Coordinator Functionality Mobility;Colorado neural Borders;orange;global redundant Ergonomic;generating SDD Senior;Legacy Fish;Ball open-source Integration;Botswana Toys;reintermediate exuding;30149;73452;Garden withdrawal engineer;monitor grow;91888;2024-01-08T07:38:20;55340;2024-01-08T22:33:21;70322;2024-01-08T22:42:26
7;40929;Configuration;Incredible frictionless;local Car mobile;47151;Pataca;front-end;2024-01-08;2024-01-08;Sleek Licensed deposit;matrix;Quality-focused back-end Salad;Ergonomic index;Outdoors teal SCSI;Motorway regional Usability;FTP Practical;grey;Rubber;SMS;driver;user-facing bypassing;programming;vortals Home maximize;Account Market Horizontal;Frozen program Michigan;14257;2248;84866;Cotton program pixel;Walk;feed Supervisor Avon;visualize calculating Baby;Synergized;Handmade withdrawal;Cambridgeshire mobile;47805;Consultant Oklahoma;Dinar Trafficway;Borders Bedfordshire;Savings PCI;Specialist FTP Vietnam;encoding;withdrawal Creative;Rustic SMS;bluetooth;directional array;bi-directional USB;Focused;Rubber invoice Legacy;Rustic Fresh moderator;deposit Gorgeous Ergonomic;driver Idaho;Intelligent Refined Argentina;Peso 1080p;37753;45059;Data;payment;59159;2024-01-08T21:33:52;56026;2024-01-08T22:25:47;67254;2024-01-08T15:40:33
8;8974;deposit Home;directional Health Kyat;Card Towels;77399;Music;panel;2024-01-09;2024-01-08;SCSI;Kina;transmitter disintermediate generate;Usability;ability;solutions;deposit recontextualize Research;override Specialist online;reciprocal withdrawal Fantastic;Cotton Garden;1080p;ROI Wooden;Shoes calculate Brand;Unbranded Fish;navigate connecting red;Wells EXE productivity;98361;27434;95758;Toys withdrawal;feed;Paradigm;navigate deploy;Horizontal Account;Dollar;compress card;52806;Berkshire SCSI Inlet;Forward Account Bhutan;matrix technologies Colorado;engage;pink Response Leu;invoice data-warehouse;Gorgeous Connecticut Jewelery;bypassing multi-byte;HDD;Bike generating;deposit coherent Accountability;hack;Afghani Granite virtual;convergence;Unions;Generic green Verde;Customer-focused;Cheese;66193;27196;Handcrafted deposit Berkshire;Mississippi Bacon;83469;2024-01-08T22:46:33;56612;2024-01-08T04:25:41;89071;2024-01-08T15:25:48
9;4596;Wooden leverage;Account invoice;Account;95612;Principal capacitor;primary input Account;2024-01-08;2024-01-09;Books Plastic;open-source;TCP Pants;Maine Senior leverage;ADP;niches quantifying;Surinam;Senior Concrete;hack killer Ameliorated;Home International knowledge;Digitized object-oriented Fantastic;applications;Unbranded Real Via;Avon Plastic;scalable Books;Soap;26052;53481;6057;firmware;overriding Flat;Kids Car asymmetric;iterate Ford Optimized;card Frozen bypass;open Health Ariary;Buckinghamshire;57669;Cheese Executive;Panama discrete leverage;Metal IB;withdrawal PNG;Soft Supervisor Table;teal Baby;Intelligent Bedfordshire;program applications;disintermediate;Persevering Rupee Franc;Refined Vermont Advanced;Account deposit invoice;indexing Implemented Music;secondary Djibouti system;Tactics Account;copying Administrator;Tunisia systems Granite;Investment orange;84807;21871;Account Human Estate;Ukraine payment;88151;2024-01-09T03:42:54;2393;2024-01-08T22:16:09;16400;2024-01-08T16:16:46
10;79658;salmon CSS Gourde;Concrete;Marketing client-driven;80847;indigo sticky model;Buckinghamshire Sausages;2024-01-08;2024-01-08;Missouri;matrices;5th;innovative;Fantastic compelling;payment;Rest;model;program Florida GB;Quality-focused Accounts connect;Berkshire Legacy;multimedia mobile;Toys Bedfordshire;Small Home;backing Sleek incentivize;syndicate Computers Handcrafted;42364;35764;45619;Pennsylvania Intelligent Automotive;24/7 invoice green;Persistent;B2B Specialist;compressing;silver;magenta;29271;deposit online;content;programming;Franc Baby Loan;sky cyan;e-services Agent Tuna;payment web-enabled;Tasty;Liaison Land;Bedfordshire;software New Regional;Hat;impactful;disintermediate;attitude;Virtual Executive synthesizing;Plastic analyzing;Kids;26142;16427;plug-and-play Regional;Branding Shirt;85957;2024-01-08T18:02:49;15017;2024-01-09T01:07:44;27817;2024-01-08T17:48:39
